experiment,model,row,seed,eval_set,chunk,nll,tokens,token_sha256
29,qwen3_4b_base,Q1_hadamard,0,wt2,0,1.831339716911316,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,1,2.284534215927124,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,2,2.4742400646209717,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,3,2.2225632667541504,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,4,1.972999930381775,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,5,1.553396224975586,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,6,1.3104242086410522,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,7,1.9017430543899536,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,8,2.1277084350585938,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,9,2.225250005722046,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,10,2.089627504348755,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,11,2.137439250946045,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,12,2.124936580657959,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,13,2.2753024101257324,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,14,2.1969707012176514,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,15,2.3106276988983154,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,16,2.4289629459381104,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,17,2.266648054122925,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,18,2.0448756217956543,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,19,1.8815151453018188,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,20,2.0622825622558594,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,21,2.3081367015838623,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,22,2.057032346725464,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,23,2.2123777866363525,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,24,2.181788921356201,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,25,2.2752914428710938,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,26,2.3537096977233887,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,27,2.549245834350586,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,28,2.320746421813965,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,29,1.9207111597061157,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,30,1.856520652770996,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,31,1.7676472663879395,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,32,1.5740594863891602,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,33,2.0494558811187744,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,34,1.9280930757522583,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,35,2.0479555130004883,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,36,1.6672266721725464,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,37,1.496338129043579,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,38,1.6209689378738403,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,39,1.4220045804977417,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,40,1.6439213752746582,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,41,2.011658191680908,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,42,2.4566762447357178,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,43,2.6863558292388916,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,44,2.5798888206481934,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,45,2.359757661819458,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,46,2.3026013374328613,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,47,2.4179601669311523,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,48,2.411714792251587,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,49,1.982957363128662,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,50,2.2791357040405273,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,51,1.9409154653549194,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,52,1.8880432844161987,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
29,qwen3_4b_base,Q1_hadamard,0,wt2,53,1.8043464422225952,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
