experiment,model,row,seed,eval_set,chunk,nll,tokens,token_sha256
31,qwen3_4b_base,hadamard,0,wt2,0,1.831339716911316,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,1,2.284534215927124,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,2,2.4742400646209717,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,3,2.2225632667541504,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,4,1.972999930381775,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,5,1.553396224975586,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,6,1.3104242086410522,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,7,1.9017430543899536,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,8,2.1277084350585938,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,9,2.225250005722046,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,10,2.089627504348755,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,11,2.137439250946045,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,12,2.124936580657959,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,13,2.2753024101257324,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,14,2.1969707012176514,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,15,2.3106276988983154,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,16,2.4289629459381104,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,17,2.266648054122925,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,18,2.0448756217956543,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,19,1.8815151453018188,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,20,2.0622825622558594,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,21,2.3081367015838623,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,22,2.057032346725464,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,23,2.2123777866363525,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,24,2.181788921356201,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,25,2.2752914428710938,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,26,2.3537096977233887,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,27,2.549245834350586,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
31,qwen3_4b_base,hadamard,0,wt2,28,2.320746421813965,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
