model,row,seed,site,layer,rank,residual_group_energy_max_median,captured_fraction
qwen3_4b_base,P4_k8,0,qkv,4,8,1.0003271382779508,0.27676972361728663
qwen3_4b_base,P4_k8,0,qkv,5,8,1.0000657534135073,0.3835816746669607
qwen3_4b_base,P4_k8,0,qkv,6,8,1.0001204821705802,0.36164833276416036
qwen3_4b_base,P4_k8,0,qkv,7,8,1.0010265516517685,0.5031016978618433
qwen3_4b_base,P4_k8,0,qkv,8,8,1.0002097573766098,0.42330288374449354
qwen3_4b_base,P4_k8,0,qkv,9,8,1.0001207266551306,0.42210857098568355
qwen3_4b_base,P4_k8,0,qkv,10,8,1.0001369759236605,0.46988497303377713
qwen3_4b_base,P4_k8,0,qkv,11,8,1.0003375029529695,0.45843779629794496
qwen3_4b_base,P4_k8,0,qkv,12,8,1.0007485579244835,0.49361874153978264
qwen3_4b_base,P4_k8,0,qkv,13,8,1.0013452910986762,0.4487740018710323
qwen3_4b_base,P4_k8,0,qkv,14,8,1.0002208611724246,0.5341087013340866
qwen3_4b_base,P4_k8,0,qkv,15,8,1.0013197712390733,0.5361170542999386
qwen3_4b_base,P4_k8,0,qkv,16,8,1.0007034843888378,0.48041311134108144
qwen3_4b_base,P4_k8,0,qkv,17,8,1.0010165449919464,0.47978108292242627
qwen3_4b_base,P4_k8,0,qkv,18,8,1.0011250964096947,0.5315426218978285
qwen3_4b_base,P4_k8,0,qkv,19,8,1.0019976587865749,0.5405353886784419
qwen3_4b_base,P4_k8,0,qkv,20,8,1.001422849914648,0.5272797893549319
qwen3_4b_base,P4_k8,0,qkv,21,8,1.001691523751831,0.5781964202036027
qwen3_4b_base,P4_k8,0,qkv,22,8,1.002464827467713,0.5589162536797146
qwen3_4b_base,P4_k8,0,qkv,23,8,1.0000720839717046,0.5275664158211376
qwen3_4b_base,P4_k8,0,qkv,24,8,1.000045994224444,0.5140231356082833
qwen3_4b_base,P4_k8,0,qkv,25,8,1.0001754919924233,0.5759540842657244
qwen3_4b_base,P4_k8,0,qkv,26,8,1.00079944568818,0.5176305109123008
qwen3_4b_base,P4_k8,0,qkv,27,8,1.0023381173347121,0.5517112305253633
qwen3_4b_base,P4_k8,0,qkv,28,8,1.0006768353786006,0.5758585791924327
qwen3_4b_base,P4_k8,0,qkv,29,8,1.0003184426429035,0.4630885167256993
qwen3_4b_base,P4_k8,0,qkv,30,8,1.003141923336592,0.5299310758427281
qwen3_4b_base,P4_k8,0,qkv,31,8,1.0023694731430666,0.494012313767693
qwen3_4b_base,P4_k8,0,qkv,32,8,1.0026103526046741,0.5178906585015841
qwen3_4b_base,P4_k8,0,qkv,33,8,1.0001760077891386,0.43487988941219385
qwen3_4b_base,P4_k8,0,qkv,34,8,1.0009322493828814,0.5409208664574305
qwen3_4b_base,P4_k8,0,qkv,35,8,1.0378147017272898,0.575353635615074
qwen3_4b_base,P4_k8,0,down,0,8,1.0014778434581462,0.0978380582848825
qwen3_4b_base,P4_k8,0,down,1,8,1.000006150108894,0.39141378494021634
qwen3_4b_base,P4_k8,0,down,2,8,1.0000291459449164,0.09856998027515874
qwen3_4b_base,P4_k8,0,down,3,8,6.722026902852615,0.10308981425501236
qwen3_4b_base,P4_k8,0,down,4,8,1.0001434225503114,0.10915623857918515
qwen3_4b_base,P4_k8,0,down,5,8,1.8640078672980391,0.07879258290595896
qwen3_4b_base,P4_k8,0,down,6,8,1.0032624275566124,0.9725110929083625
qwen3_4b_base,P4_k8,0,down,7,8,1.0045666652994738,0.04549810868171324
qwen3_4b_base,P4_k8,0,down,8,8,1.0039863380303675,0.04714981437594069
qwen3_4b_base,P4_k8,0,down,9,8,1.0047503453716649,0.08030010154160819
qwen3_4b_base,P4_k8,0,down,10,8,1.0135160435472084,0.08646400158804438
qwen3_4b_base,P4_k8,0,down,11,8,1.0099213068460036,0.08522724748805761
qwen3_4b_base,P4_k8,0,down,12,8,1.0078571561778664,0.10554763424749465
qwen3_4b_base,P4_k8,0,down,13,8,1.0107560971615956,0.07646000850395647
qwen3_4b_base,P4_k8,0,down,14,8,1.003195738071443,0.08317661122296616
qwen3_4b_base,P4_k8,0,down,15,8,1.0145184358706867,0.09908000044258178
qwen3_4b_base,P4_k8,0,down,16,8,1.032803696341209,0.9866813950573308
qwen3_4b_base,P4_k8,0,down,17,8,1.0054174200203296,0.0970015117307793
qwen3_4b_base,P4_k8,0,down,18,8,1.007283738733174,0.09749360028379997
qwen3_4b_base,P4_k8,0,down,19,8,1.007879444733051,0.09192165179997967
qwen3_4b_base,P4_k8,0,down,20,8,1.0018252740231568,0.08127654955551765
qwen3_4b_base,P4_k8,0,down,21,8,1.0044091179838819,0.07515450069990101
qwen3_4b_base,P4_k8,0,down,22,8,1.0049516481669147,0.11293998211533494
qwen3_4b_base,P4_k8,0,down,23,8,1.0041785578127718,0.11537956434418764
qwen3_4b_base,P4_k8,0,down,24,8,1.0052945478146955,0.11430639734130532
qwen3_4b_base,P4_k8,0,down,25,8,1.0069799961834363,0.10733855062403318
qwen3_4b_base,P4_k8,0,down,26,8,1.0051213247771205,0.11387916598836084
qwen3_4b_base,P4_k8,0,down,27,8,1.0027966121180196,0.10596751241742013
qwen3_4b_base,P4_k8,0,down,28,8,1.0006249459844134,0.11351569748344344
qwen3_4b_base,P4_k8,0,down,29,8,1.006847209017378,0.1437069315580895
qwen3_4b_base,P4_k8,0,down,30,8,1.005434451711629,0.1501154639786493
qwen3_4b_base,P4_k8,0,down,31,8,1.0010463582099625,0.2026771341994276
qwen3_4b_base,P4_k8,0,down,32,8,1.0014668100587643,0.12195406427877817
qwen3_4b_base,P4_k8,0,down,33,8,1.0015919033098009,0.20979152328080367
qwen3_4b_base,P4_k8,0,down,34,8,1.0006365992313075,0.41108382808214516
qwen3_4b_base,P4_k8,0,down,35,8,14.127873814138567,0.9221544341003804
qwen3_4b_base,P4_k8,1,qkv,0,8,1.0042247480190982,0.4680118808035058
qwen3_4b_base,P4_k8,1,qkv,1,8,1.0001625116571324,0.4158786010576637
qwen3_4b_base,P4_k8,1,qkv,2,8,1.0001107791049506,0.2752293688989568
qwen3_4b_base,P4_k8,1,qkv,3,8,1.0017826528033593,0.35479744666074425
qwen3_4b_base,P4_k8,1,qkv,4,8,1.0003271382779508,0.27676972361728663
qwen3_4b_base,P4_k8,1,qkv,5,8,1.0000657534135073,0.3835816746669607
qwen3_4b_base,P4_k8,1,qkv,6,8,1.0001204821705802,0.36164833276416036
qwen3_4b_base,P4_k8,1,qkv,7,8,1.0010265516517685,0.5031016978618433
qwen3_4b_base,P4_k8,1,qkv,8,8,1.0002097573766098,0.42330288374449354
qwen3_4b_base,P4_k8,1,qkv,9,8,1.0001207266551306,0.42210857098568355
qwen3_4b_base,P4_k8,1,qkv,10,8,1.0001369759236605,0.46988497303377713
qwen3_4b_base,P4_k8,1,qkv,11,8,1.0003375029529695,0.45843779629794496
qwen3_4b_base,P4_k8,1,qkv,12,8,1.0007485579244835,0.49361874153978264
qwen3_4b_base,P4_k8,1,qkv,13,8,1.0013452910986762,0.4487740018710323
qwen3_4b_base,P4_k8,1,qkv,14,8,1.0002208611724246,0.5341087013340866
qwen3_4b_base,P4_k8,1,qkv,15,8,1.0013197712390733,0.5361170542999386
qwen3_4b_base,P4_k8,1,qkv,16,8,1.0007034843888378,0.48041311134108144
qwen3_4b_base,P4_k8,1,qkv,17,8,1.0010165449919464,0.47978108292242627
qwen3_4b_base,P4_k8,1,qkv,18,8,1.0011250964096947,0.5315426218978285
qwen3_4b_base,P4_k8,1,qkv,19,8,1.0019976587865749,0.5405353886784419
qwen3_4b_base,P4_k8,1,qkv,20,8,1.001422849914648,0.5272797893549319
qwen3_4b_base,P4_k8,1,qkv,21,8,1.001691523751831,0.5781964202036027
qwen3_4b_base,P4_k8,1,qkv,22,8,1.002464827467713,0.5589162536797146
qwen3_4b_base,P4_k8,1,qkv,23,8,1.0000720839717046,0.5275664158211376
qwen3_4b_base,P4_k8,1,qkv,24,8,1.000045994224444,0.5140231356082833
qwen3_4b_base,P4_k8,1,qkv,25,8,1.0001754919924233,0.5759540842657244
qwen3_4b_base,P4_k8,1,qkv,26,8,1.00079944568818,0.5176305109123008
qwen3_4b_base,P4_k8,1,qkv,27,8,1.0023381173347121,0.5517112305253633
qwen3_4b_base,P4_k8,1,qkv,28,8,1.0006768353786006,0.5758585791924327
qwen3_4b_base,P4_k8,1,qkv,29,8,1.0003184426429035,0.4630885167256993
qwen3_4b_base,P4_k8,1,qkv,30,8,1.003141923336592,0.5299310758427281
qwen3_4b_base,P4_k8,1,qkv,31,8,1.0023694731430666,0.494012313767693
qwen3_4b_base,P4_k8,1,qkv,32,8,1.0026103526046741,0.5178906585015841
qwen3_4b_base,P4_k8,1,qkv,33,8,1.0001760077891386,0.43487988941219385
qwen3_4b_base,P4_k8,1,qkv,34,8,1.0009322493828814,0.5409208664574305
qwen3_4b_base,P4_k8,1,qkv,35,8,1.0378147017272898,0.575353635615074
qwen3_4b_base,P4_k8,1,down,0,8,1.0014778434581462,0.0978380582848825
qwen3_4b_base,P4_k8,1,down,1,8,1.000006150108894,0.39141378494021634
qwen3_4b_base,P4_k8,1,down,2,8,1.0000291459449164,0.09856998027515874
qwen3_4b_base,P4_k8,1,down,3,8,6.722026902852615,0.10308981425501236
qwen3_4b_base,P4_k8,1,down,4,8,1.0001434225503114,0.10915623857918515
qwen3_4b_base,P4_k8,1,down,5,8,1.8640078672980391,0.07879258290595896
qwen3_4b_base,P4_k8,1,down,6,8,1.0032624275566124,0.9725110929083625
qwen3_4b_base,P4_k8,1,down,7,8,1.0045666652994738,0.04549810868171324
qwen3_4b_base,P4_k8,1,down,8,8,1.0039863380303675,0.04714981437594069
qwen3_4b_base,P4_k8,1,down,9,8,1.0047503453716649,0.08030010154160819
qwen3_4b_base,P4_k8,1,down,10,8,1.0135160435472084,0.08646400158804438
qwen3_4b_base,P4_k8,1,down,11,8,1.0099213068460036,0.08522724748805761
qwen3_4b_base,P4_k8,1,down,12,8,1.0078571561778664,0.10554763424749465
qwen3_4b_base,P4_k8,1,down,13,8,1.0107560971615956,0.07646000850395647
qwen3_4b_base,P4_k8,1,down,14,8,1.003195738071443,0.08317661122296616
qwen3_4b_base,P4_k8,1,down,15,8,1.0145184358706867,0.09908000044258178
qwen3_4b_base,P4_k8,1,down,16,8,1.032803696341209,0.9866813950573308
qwen3_4b_base,P4_k8,1,down,17,8,1.0054174200203296,0.0970015117307793
qwen3_4b_base,P4_k8,1,down,18,8,1.007283738733174,0.09749360028379997
qwen3_4b_base,P4_k8,1,down,19,8,1.007879444733051,0.09192165179997967
qwen3_4b_base,P4_k8,1,down,20,8,1.0018252740231568,0.08127654955551765
qwen3_4b_base,P4_k8,1,down,21,8,1.0044091179838819,0.07515450069990101
qwen3_4b_base,P4_k8,1,down,22,8,1.0049516481669147,0.11293998211533494
qwen3_4b_base,P4_k8,1,down,23,8,1.0041785578127718,0.11537956434418764
qwen3_4b_base,P4_k8,1,down,24,8,1.0052945478146955,0.11430639734130532
qwen3_4b_base,P4_k8,1,down,25,8,1.0069799961834363,0.10733855062403318
qwen3_4b_base,P4_k8,1,down,26,8,1.0051213247771205,0.11387916598836084
qwen3_4b_base,P4_k8,1,down,27,8,1.0027966121180196,0.10596751241742013
qwen3_4b_base,P4_k8,1,down,28,8,1.0006249459844134,0.11351569748344344
qwen3_4b_base,P4_k8,1,down,29,8,1.006847209017378,0.1437069315580895
qwen3_4b_base,P4_k8,1,down,30,8,1.005434451711629,0.1501154639786493
qwen3_4b_base,P4_k8,1,down,31,8,1.0010463582099625,0.2026771341994276
qwen3_4b_base,P4_k8,1,down,32,8,1.0014668100587643,0.12195406427877817
qwen3_4b_base,P4_k8,1,down,33,8,1.0015919033098009,0.20979152328080367
qwen3_4b_base,P4_k8,1,down,34,8,1.0006365992313075,0.41108382808214516
qwen3_4b_base,P4_k8,1,down,35,8,14.127873814138567,0.9221544341003804
qwen3_4b_base,P4_k8,2,qkv,0,8,1.0042247480190982,0.4680118808035058
qwen3_4b_base,P4_k8,2,qkv,1,8,1.0001625116571324,0.4158786010576637
qwen3_4b_base,P4_k8,2,qkv,2,8,1.0001107791049506,0.2752293688989568
qwen3_4b_base,P4_k8,2,qkv,3,8,1.0017826528033593,0.35479744666074425
qwen3_4b_base,P4_k8,2,qkv,4,8,1.0003271382779508,0.27676972361728663
qwen3_4b_base,P4_k8,2,qkv,5,8,1.0000657534135073,0.3835816746669607
qwen3_4b_base,P4_k8,2,qkv,6,8,1.0001204821705802,0.36164833276416036
qwen3_4b_base,P4_k8,2,qkv,7,8,1.0010265516517685,0.5031016978618433
qwen3_4b_base,P4_k8,2,qkv,8,8,1.0002097573766098,0.42330288374449354
qwen3_4b_base,P4_k8,2,qkv,9,8,1.0001207266551306,0.42210857098568355
qwen3_4b_base,P4_k8,2,qkv,10,8,1.0001369759236605,0.46988497303377713
qwen3_4b_base,P4_k8,2,qkv,11,8,1.0003375029529695,0.45843779629794496
qwen3_4b_base,P4_k8,2,qkv,12,8,1.0007485579244835,0.49361874153978264
qwen3_4b_base,P4_k8,2,qkv,13,8,1.0013452910986762,0.4487740018710323
qwen3_4b_base,P4_k8,2,qkv,14,8,1.0002208611724246,0.5341087013340866
qwen3_4b_base,P4_k8,2,qkv,15,8,1.0013197712390733,0.5361170542999386
qwen3_4b_base,P4_k8,2,qkv,16,8,1.0007034843888378,0.48041311134108144
qwen3_4b_base,P4_k8,2,qkv,17,8,1.0010165449919464,0.47978108292242627
qwen3_4b_base,P4_k8,2,qkv,18,8,1.0011250964096947,0.5315426218978285
qwen3_4b_base,P4_k8,2,qkv,19,8,1.0019976587865749,0.5405353886784419
qwen3_4b_base,P4_k8,2,qkv,20,8,1.001422849914648,0.5272797893549319
qwen3_4b_base,P4_k8,2,qkv,21,8,1.001691523751831,0.5781964202036027
qwen3_4b_base,P4_k8,2,qkv,22,8,1.002464827467713,0.5589162536797146
qwen3_4b_base,P4_k8,2,qkv,23,8,1.0000720839717046,0.5275664158211376
qwen3_4b_base,P4_k8,2,qkv,24,8,1.000045994224444,0.5140231356082833
qwen3_4b_base,P4_k8,2,qkv,25,8,1.0001754919924233,0.5759540842657244
qwen3_4b_base,P4_k8,2,qkv,26,8,1.00079944568818,0.5176305109123008
qwen3_4b_base,P4_k8,2,qkv,27,8,1.0023381173347121,0.5517112305253633
qwen3_4b_base,P4_k8,2,qkv,28,8,1.0006768353786006,0.5758585791924327
qwen3_4b_base,P4_k8,2,qkv,29,8,1.0003184426429035,0.4630885167256993
qwen3_4b_base,P4_k8,2,qkv,30,8,1.003141923336592,0.5299310758427281
qwen3_4b_base,P4_k8,2,qkv,31,8,1.0023694731430666,0.494012313767693
qwen3_4b_base,P4_k8,2,qkv,32,8,1.0026103526046741,0.5178906585015841
qwen3_4b_base,P4_k8,2,qkv,33,8,1.0001760077891386,0.43487988941219385
qwen3_4b_base,P4_k8,2,qkv,34,8,1.0009322493828814,0.5409208664574305
qwen3_4b_base,P4_k8,2,qkv,35,8,1.0378147017272898,0.575353635615074
qwen3_4b_base,P4_k8,2,down,0,8,1.0014778434581462,0.0978380582848825
qwen3_4b_base,P4_k8,2,down,1,8,1.000006150108894,0.39141378494021634
qwen3_4b_base,P4_k8,2,down,2,8,1.0000291459449164,0.09856998027515874
qwen3_4b_base,P4_k8,2,down,3,8,6.722026902852615,0.10308981425501236
qwen3_4b_base,P4_k8,2,down,4,8,1.0001434225503114,0.10915623857918515
qwen3_4b_base,P4_k8,2,down,5,8,1.8640078672980391,0.07879258290595896
qwen3_4b_base,P4_k8,2,down,6,8,1.0032624275566124,0.9725110929083625
qwen3_4b_base,P4_k8,2,down,7,8,1.0045666652994738,0.04549810868171324
qwen3_4b_base,P4_k8,2,down,8,8,1.0039863380303675,0.04714981437594069
qwen3_4b_base,P4_k8,2,down,9,8,1.0047503453716649,0.08030010154160819
qwen3_4b_base,P4_k8,2,down,10,8,1.0135160435472084,0.08646400158804438
qwen3_4b_base,P4_k8,2,down,11,8,1.0099213068460036,0.08522724748805761
qwen3_4b_base,P4_k8,2,down,12,8,1.0078571561778664,0.10554763424749465
qwen3_4b_base,P4_k8,2,down,13,8,1.0107560971615956,0.07646000850395647
qwen3_4b_base,P4_k8,2,down,14,8,1.003195738071443,0.08317661122296616
qwen3_4b_base,P4_k8,2,down,15,8,1.0145184358706867,0.09908000044258178
qwen3_4b_base,P4_k8,2,down,16,8,1.032803696341209,0.9866813950573308
qwen3_4b_base,P4_k8,2,down,17,8,1.0054174200203296,0.0970015117307793
qwen3_4b_base,P4_k8,2,down,18,8,1.007283738733174,0.09749360028379997
qwen3_4b_base,P4_k8,2,down,19,8,1.007879444733051,0.09192165179997967
qwen3_4b_base,P4_k8,2,down,20,8,1.0018252740231568,0.08127654955551765
qwen3_4b_base,P4_k8,2,down,21,8,1.0044091179838819,0.07515450069990101
qwen3_4b_base,P4_k8,2,down,22,8,1.0049516481669147,0.11293998211533494
qwen3_4b_base,P4_k8,2,down,23,8,1.0041785578127718,0.11537956434418764
qwen3_4b_base,P4_k8,2,down,24,8,1.0052945478146955,0.11430639734130532
qwen3_4b_base,P4_k8,2,down,25,8,1.0069799961834363,0.10733855062403318
qwen3_4b_base,P4_k8,2,down,26,8,1.0051213247771205,0.11387916598836084
qwen3_4b_base,P4_k8,2,down,27,8,1.0027966121180196,0.10596751241742013
qwen3_4b_base,P4_k8,2,down,28,8,1.0006249459844134,0.11351569748344344
qwen3_4b_base,P4_k8,2,down,29,8,1.006847209017378,0.1437069315580895
qwen3_4b_base,P4_k8,2,down,30,8,1.005434451711629,0.1501154639786493
qwen3_4b_base,P4_k8,2,down,31,8,1.0010463582099625,0.2026771341994276
qwen3_4b_base,P4_k8,2,down,32,8,1.0014668100587643,0.12195406427877817
qwen3_4b_base,P4_k8,2,down,33,8,1.0015919033098009,0.20979152328080367
qwen3_4b_base,P4_k8,2,down,34,8,1.0006365992313075,0.41108382808214516
qwen3_4b_base,P4_k8,2,down,35,8,14.127873814138567,0.9221544341003804
qwen3_4b_base,P5_k8,0,qkv,0,8,1.016396863937171,0.4680118808035058
qwen3_4b_base,P5_k8,0,qkv,1,8,1.0005621518478103,0.4158786010576637
qwen3_4b_base,P5_k8,0,qkv,2,8,1.0022340550146447,0.2752293688989568
qwen3_4b_base,P5_k8,0,qkv,3,8,1.0000346431831677,0.35479744666074425
qwen3_4b_base,P5_k8,0,qkv,4,8,1.0002171987574315,0.27676972361728663
qwen3_4b_base,P5_k8,0,qkv,5,8,1.0024315380785316,0.3835816746669607
qwen3_4b_base,P5_k8,0,qkv,6,8,1.0000806472596844,0.36164833276416036
qwen3_4b_base,P5_k8,0,qkv,7,8,1.0016559219450263,0.5031016978618433
qwen3_4b_base,P5_k8,0,qkv,8,8,1.0062309707080876,0.42330288374449354
qwen3_4b_base,P5_k8,0,qkv,9,8,1.0026516976057518,0.42210857098568355
qwen3_4b_base,P5_k8,0,qkv,10,8,1.0115786961383384,0.46988497303377713
qwen3_4b_base,P5_k8,0,qkv,11,8,1.0153261550083346,0.45843779629794496
qwen3_4b_base,P5_k8,0,qkv,12,8,1.0028338600260271,0.49361874153978264
qwen3_4b_base,P5_k8,0,qkv,13,8,1.0022413396491512,0.4487740018710323
qwen3_4b_base,P5_k8,0,qkv,14,8,1.0002234849245388,0.5341087013340866
qwen3_4b_base,P5_k8,0,qkv,15,8,1.0017407949443475,0.5361170542999386
qwen3_4b_base,P5_k8,0,qkv,16,8,1.0015943504597875,0.48041311134108144
qwen3_4b_base,P5_k8,0,qkv,17,8,1.0013669352021384,0.47978108292242627
qwen3_4b_base,P5_k8,0,qkv,18,8,1.0013526006116842,0.5315426218978285
qwen3_4b_base,P5_k8,0,qkv,19,8,1.002444659693741,0.5405353886784419
qwen3_4b_base,P5_k8,0,qkv,20,8,1.0019704444162687,0.5272797893549319
qwen3_4b_base,P5_k8,0,qkv,21,8,1.002156430687624,0.5781964202036027
qwen3_4b_base,P5_k8,0,qkv,22,8,1.003009173653708,0.5589162536797146
qwen3_4b_base,P5_k8,0,qkv,23,8,1.000028387124187,0.5275664158211376
qwen3_4b_base,P5_k8,0,qkv,24,8,1.0023346448870591,0.5140231356082833
qwen3_4b_base,P5_k8,0,qkv,25,8,1.0029419602240852,0.5759540842657244
qwen3_4b_base,P5_k8,0,qkv,26,8,1.0029871636917969,0.5176305109123008
qwen3_4b_base,P5_k8,0,qkv,27,8,1.0029168590020774,0.5517112305253633
qwen3_4b_base,P5_k8,0,qkv,28,8,1.002568208552936,0.5758585791924327
qwen3_4b_base,P5_k8,0,qkv,29,8,1.0022193076744468,0.4630885167256993
qwen3_4b_base,P5_k8,0,qkv,30,8,1.0000174251839689,0.5299310758427281
qwen3_4b_base,P5_k8,0,qkv,31,8,1.0025268493769692,0.494012313767693
qwen3_4b_base,P5_k8,0,qkv,32,8,1.0026948371305047,0.5178906585015841
qwen3_4b_base,P5_k8,0,qkv,33,8,1.0015028123419971,0.43487988941219385
qwen3_4b_base,P5_k8,0,qkv,34,8,1.0028430290792987,0.5409208664574305
qwen3_4b_base,P5_k8,0,qkv,35,8,1.0321158595105218,0.575353635615074
qwen3_4b_base,P5_k8,0,down,0,8,1.002180665258561,0.0978380582848825
qwen3_4b_base,P5_k8,0,down,1,8,1.0000363620009616,0.39141378494021634
qwen3_4b_base,P5_k8,0,down,2,8,1.000028953047527,0.09856998027515874
qwen3_4b_base,P5_k8,0,down,3,8,6.559926701155176,0.10308981425501236
qwen3_4b_base,P5_k8,0,down,4,8,1.0004759135557917,0.10915623857918515
qwen3_4b_base,P5_k8,0,down,5,8,1.8532182626950278,0.07879258290595896
qwen3_4b_base,P5_k8,0,down,6,8,1.0102914269121368,0.9725110929083625
qwen3_4b_base,P5_k8,0,down,7,8,1.0078037811725176,0.04549810868171324
qwen3_4b_base,P5_k8,0,down,8,8,1.007020939284636,0.04714981437594069
qwen3_4b_base,P5_k8,0,down,9,8,1.006061411156879,0.08030010154160819
qwen3_4b_base,P5_k8,0,down,10,8,1.0151250603331763,0.08646400158804438
qwen3_4b_base,P5_k8,0,down,11,8,1.0145471212004569,0.08522724748805761
qwen3_4b_base,P5_k8,0,down,12,8,1.011874669075927,0.10554763424749465
qwen3_4b_base,P5_k8,0,down,13,8,1.0130923512852996,0.07646000850395647
qwen3_4b_base,P5_k8,0,down,14,8,1.0063554484571613,0.08317661122296616
qwen3_4b_base,P5_k8,0,down,15,8,1.0185155181797136,0.09908000044258178
qwen3_4b_base,P5_k8,0,down,16,8,1.0431398976952522,0.9866813950573308
qwen3_4b_base,P5_k8,0,down,17,8,1.0132070998742284,0.0970015117307793
qwen3_4b_base,P5_k8,0,down,18,8,1.0078721106867208,0.09749360028379997
qwen3_4b_base,P5_k8,0,down,19,8,1.0116100839841116,0.09192165179997967
qwen3_4b_base,P5_k8,0,down,20,8,1.0048215097444841,0.08127654955551765
qwen3_4b_base,P5_k8,0,down,21,8,1.0043082890838395,0.07515450069990101
qwen3_4b_base,P5_k8,0,down,22,8,1.0045847433606763,0.11293998211533494
qwen3_4b_base,P5_k8,0,down,23,8,1.005449140713282,0.11537956434418764
qwen3_4b_base,P5_k8,0,down,24,8,1.0069225606945484,0.11430639734130532
qwen3_4b_base,P5_k8,0,down,25,8,1.0094360694574527,0.10733855062403318
qwen3_4b_base,P5_k8,0,down,26,8,1.0057907078886186,0.11387916598836084
qwen3_4b_base,P5_k8,0,down,27,8,1.003907621604311,0.10596751241742013
qwen3_4b_base,P5_k8,0,down,28,8,1.0024343561063205,0.11351569748344344
qwen3_4b_base,P5_k8,0,down,29,8,1.0079361542734868,0.1437069315580895
qwen3_4b_base,P5_k8,0,down,30,8,1.0056499486356976,0.1501154639786493
qwen3_4b_base,P5_k8,0,down,31,8,1.0024641470780413,0.2026771341994276
qwen3_4b_base,P5_k8,0,down,32,8,1.0053216009413564,0.12195406427877817
qwen3_4b_base,P5_k8,0,down,33,8,1.0029498351814754,0.20979152328080367
qwen3_4b_base,P5_k8,0,down,34,8,1.001525701344584,0.41108382808214516
qwen3_4b_base,P5_k8,0,down,35,8,12.446798271536988,0.9221544341003804
qwen3_4b_base,P5_k8,1,qkv,0,8,1.016396863937171,0.4680118808035058
qwen3_4b_base,P5_k8,1,qkv,1,8,1.0005621518478103,0.4158786010576637
qwen3_4b_base,P5_k8,1,qkv,2,8,1.0022340550146447,0.2752293688989568
qwen3_4b_base,P5_k8,1,qkv,3,8,1.0000346431831677,0.35479744666074425
qwen3_4b_base,P5_k8,1,qkv,4,8,1.0002171987574315,0.27676972361728663
qwen3_4b_base,P5_k8,1,qkv,5,8,1.0024315380785316,0.3835816746669607
qwen3_4b_base,P5_k8,1,qkv,6,8,1.0000806472596844,0.36164833276416036
qwen3_4b_base,P5_k8,1,qkv,7,8,1.0016559219450263,0.5031016978618433
qwen3_4b_base,P5_k8,1,qkv,8,8,1.0062309707080876,0.42330288374449354
qwen3_4b_base,P5_k8,1,qkv,9,8,1.0026516976057518,0.42210857098568355
qwen3_4b_base,P5_k8,1,qkv,10,8,1.0115786961383384,0.46988497303377713
qwen3_4b_base,P5_k8,1,qkv,11,8,1.0153261550083346,0.45843779629794496
qwen3_4b_base,P5_k8,1,qkv,12,8,1.0028338600260271,0.49361874153978264
qwen3_4b_base,P5_k8,1,qkv,13,8,1.0022413396491512,0.4487740018710323
qwen3_4b_base,P5_k8,1,qkv,14,8,1.0002234849245388,0.5341087013340866
qwen3_4b_base,P5_k8,1,qkv,15,8,1.0017407949443475,0.5361170542999386
qwen3_4b_base,P5_k8,1,qkv,16,8,1.0015943504597875,0.48041311134108144
qwen3_4b_base,P5_k8,1,qkv,17,8,1.0013669352021384,0.47978108292242627
qwen3_4b_base,P5_k8,1,qkv,18,8,1.0013526006116842,0.5315426218978285
qwen3_4b_base,P5_k8,1,qkv,19,8,1.002444659693741,0.5405353886784419
qwen3_4b_base,P5_k8,1,qkv,20,8,1.0019704444162687,0.5272797893549319
qwen3_4b_base,P5_k8,1,qkv,21,8,1.002156430687624,0.5781964202036027
qwen3_4b_base,P5_k8,1,qkv,22,8,1.003009173653708,0.5589162536797146
qwen3_4b_base,P5_k8,1,qkv,23,8,1.000028387124187,0.5275664158211376
qwen3_4b_base,P5_k8,1,qkv,24,8,1.0023346448870591,0.5140231356082833
qwen3_4b_base,P5_k8,1,qkv,25,8,1.0029419602240852,0.5759540842657244
qwen3_4b_base,P5_k8,1,qkv,26,8,1.0029871636917969,0.5176305109123008
qwen3_4b_base,P5_k8,1,qkv,27,8,1.0029168590020774,0.5517112305253633
qwen3_4b_base,P5_k8,1,qkv,28,8,1.002568208552936,0.5758585791924327
qwen3_4b_base,P5_k8,1,qkv,29,8,1.0022193076744468,0.4630885167256993
qwen3_4b_base,P5_k8,1,qkv,30,8,1.0000174251839689,0.5299310758427281
qwen3_4b_base,P5_k8,1,qkv,31,8,1.0025268493769692,0.494012313767693
qwen3_4b_base,P5_k8,1,qkv,32,8,1.0026948371305047,0.5178906585015841
qwen3_4b_base,P5_k8,1,qkv,33,8,1.0015028123419971,0.43487988941219385
qwen3_4b_base,P5_k8,1,qkv,34,8,1.0028430290792987,0.5409208664574305
qwen3_4b_base,P5_k8,1,qkv,35,8,1.0321158595105218,0.575353635615074
qwen3_4b_base,P5_k8,1,down,0,8,1.002180665258561,0.0978380582848825
qwen3_4b_base,P5_k8,1,down,1,8,1.0000363620009616,0.39141378494021634
qwen3_4b_base,P5_k8,1,down,2,8,1.000028953047527,0.09856998027515874
qwen3_4b_base,P5_k8,1,down,3,8,6.559926701155176,0.10308981425501236
qwen3_4b_base,P5_k8,1,down,4,8,1.0004759135557917,0.10915623857918515
qwen3_4b_base,P5_k8,1,down,5,8,1.8532182626950278,0.07879258290595896
