model,row,seed,site,layer,round_trip,anchor_residual
qwen3_4b_base,Had_sym,0,qkv,10,1.714609965119962e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,11,1.6704795768873737e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,12,1.680049308561138e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,13,1.683701782440039e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,14,1.708298213998205e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,15,1.6882721354249952e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,16,1.688670181465568e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,17,1.6916058598326345e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,18,1.6969072191841406e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,19,1.7043967659446935e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,20,1.6971867466963886e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,21,1.6909383759866614e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,22,1.6888660070435435e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,23,1.6907732458548708e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,24,1.709001082872419e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,25,1.6925518764310254e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,26,1.686478157125748e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,27,1.674269611839918e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,28,1.699413871847355e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,29,1.6851055306688068e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,30,1.7056902379408712e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,31,1.7112370187533088e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,32,1.6910786371227005e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,33,1.68333897931916e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,34,1.680624279742915e-07,0.0
qwen3_4b_base,Had_sym,0,qkv,35,1.69528007631925e-07,0.0
qwen3_4b_base,Had_sym,0,down,0,2.572073185547197e-07,0.0
qwen3_4b_base,Had_sym,0,down,1,2.561808400969312e-07,0.0
qwen3_4b_base,Had_sym,0,down,2,2.5601531206120853e-07,0.0
qwen3_4b_base,Had_sym,0,down,3,2.584215508250054e-07,0.0
qwen3_4b_base,Had_sym,0,down,4,2.5682635396151454e-07,0.0
qwen3_4b_base,Had_sym,0,down,5,2.563818100043136e-07,0.0
qwen3_4b_base,Had_sym,0,down,6,2.5744574827513134e-07,0.0
qwen3_4b_base,Had_sym,0,down,7,2.567111323514837e-07,0.0
qwen3_4b_base,Had_sym,0,down,8,2.5541012860230694e-07,0.0
qwen3_4b_base,Had_sym,0,down,9,2.5581022100595874e-07,0.0
qwen3_4b_base,Had_sym,0,down,10,2.562482279699907e-07,0.0
qwen3_4b_base,Had_sym,0,down,11,2.5666099645604845e-07,0.0
qwen3_4b_base,Had_sym,0,down,12,2.574358006768307e-07,0.0
qwen3_4b_base,Had_sym,0,down,13,2.5745194420778716e-07,0.0
qwen3_4b_base,Had_sym,0,down,14,2.5750784971023677e-07,0.0
qwen3_4b_base,Had_sym,0,down,15,2.560740028911823e-07,0.0
qwen3_4b_base,Had_sym,0,down,16,2.5744125764504133e-07,0.0
qwen3_4b_base,Had_sym,0,down,17,2.566866612596641e-07,0.0
qwen3_4b_base,Had_sym,0,down,18,2.5766573230612266e-07,0.0
qwen3_4b_base,Had_sym,0,down,19,2.5665445946287946e-07,0.0
qwen3_4b_base,Had_sym,0,down,20,2.578321414148377e-07,0.0
qwen3_4b_base,Had_sym,0,down,21,2.569444745859073e-07,0.0
qwen3_4b_base,Had_sym,0,down,22,2.562470342581946e-07,0.0
qwen3_4b_base,Had_sym,0,down,23,2.583963123470312e-07,0.0
qwen3_4b_base,Had_sym,0,down,24,2.5452692398175714e-07,0.0
qwen3_4b_base,Had_sym,0,down,25,2.575584687747323e-07,0.0
qwen3_4b_base,Had_sym,0,down,26,2.578934754637885e-07,0.0
qwen3_4b_base,Had_sym,0,down,27,2.5693927341308154e-07,0.0
qwen3_4b_base,Had_sym,0,down,28,2.570406820723292e-07,0.0
qwen3_4b_base,Had_sym,0,down,29,2.562013889928494e-07,0.0
qwen3_4b_base,Had_sym,0,down,30,2.5595673491807247e-07,0.0
qwen3_4b_base,Had_sym,0,down,31,2.570055244177638e-07,0.0
qwen3_4b_base,Had_sym,0,down,32,2.563202201599779e-07,0.0
qwen3_4b_base,Had_sym,0,down,33,2.569854018474871e-07,0.0
qwen3_4b_base,Had_sym,0,down,34,2.584513936199073e-07,0.0
qwen3_4b_base,Had_sym,0,down,35,2.570557171566179e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,0,1.698037692676735e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,1,1.6966922089522996e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,2,1.6828002458169067e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,3,1.6811635816793569e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,4,1.6875192443421838e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,5,1.6776752431724162e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,6,1.6874311370429496e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,7,1.688195254700986e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,8,1.6909142175336456e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,9,1.687332513711226e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,10,1.714609965119962e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,11,1.6704795768873737e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,12,1.680049308561138e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,13,1.683701782440039e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,14,1.708298213998205e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,15,1.6882721354249952e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,16,1.688670181465568e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,17,1.6916058598326345e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,18,1.6969072191841406e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,19,1.7043967659446935e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,20,1.6971867466963886e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,21,1.6909383759866614e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,22,1.6888660070435435e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,23,1.6907732458548708e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,24,1.709001082872419e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,25,1.6925518764310254e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,26,1.686478157125748e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,27,1.674269611839918e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,28,1.699413871847355e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,29,1.6851055306688068e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,30,1.7056902379408712e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,31,1.7112370187533088e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,32,1.6910786371227005e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,33,1.68333897931916e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,34,1.680624279742915e-07,0.0
qwen3_4b_base,M1_had_asym,0,qkv,35,1.69528007631925e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,0,2.572073185547197e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,1,2.561808400969312e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,2,2.5601531206120853e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,3,2.584215508250054e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,4,2.5682635396151454e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,5,2.563818100043136e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,6,2.5744574827513134e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,7,2.567111323514837e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,8,2.5541012860230694e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,9,2.5581022100595874e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,10,2.562482279699907e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,11,2.5666099645604845e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,12,2.574358006768307e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,13,2.5745194420778716e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,14,2.5750784971023677e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,15,2.560740028911823e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,16,2.5744125764504133e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,17,2.566866612596641e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,18,2.5766573230612266e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,19,2.5665445946287946e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,20,2.578321414148377e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,21,2.569444745859073e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,22,2.562470342581946e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,23,2.583963123470312e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,24,2.5452692398175714e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,25,2.575584687747323e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,26,2.578934754637885e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,27,2.5693927341308154e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,28,2.570406820723292e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,29,2.562013889928494e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,30,2.5595673491807247e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,31,2.570055244177638e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,32,2.563202201599779e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,33,2.569854018474871e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,34,2.584513936199073e-07,0.0
qwen3_4b_base,M1_had_asym,0,down,35,2.570557171566179e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,0,1.698037692676735e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,1,1.6966922089522996e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,2,1.6828002458169067e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,3,1.6811635816793569e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,4,1.6875192443421838e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,5,1.6776752431724162e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,6,1.6874311370429496e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,7,1.688195254700986e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,8,1.6909142175336456e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,9,1.687332513711226e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,10,1.714609965119962e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,11,1.6704795768873737e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,12,1.680049308561138e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,13,1.683701782440039e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,14,1.708298213998205e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,15,1.6882721354249952e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,16,1.688670181465568e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,17,1.6916058598326345e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,18,1.6969072191841406e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,19,1.7043967659446935e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,20,1.6971867466963886e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,21,1.6909383759866614e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,22,1.6888660070435435e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,23,1.6907732458548708e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,24,1.709001082872419e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,25,1.6925518764310254e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,26,1.686478157125748e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,27,1.674269611839918e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,28,1.699413871847355e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,29,1.6851055306688068e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,30,1.7056902379408712e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,31,1.7112370187533088e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,32,1.6910786371227005e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,33,1.68333897931916e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,34,1.680624279742915e-07,0.0
qwen3_4b_base,M1_had_sym,0,qkv,35,1.69528007631925e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,0,2.572073185547197e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,1,2.561808400969312e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,2,2.5601531206120853e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,3,2.584215508250054e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,4,2.5682635396151454e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,5,2.563818100043136e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,6,2.5744574827513134e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,7,2.567111323514837e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,8,2.5541012860230694e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,9,2.5581022100595874e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,10,2.562482279699907e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,11,2.5666099645604845e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,12,2.574358006768307e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,13,2.5745194420778716e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,14,2.5750784971023677e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,15,2.560740028911823e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,16,2.5744125764504133e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,17,2.566866612596641e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,18,2.5766573230612266e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,19,2.5665445946287946e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,20,2.578321414148377e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,21,2.569444745859073e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,22,2.562470342581946e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,23,2.583963123470312e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,24,2.5452692398175714e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,25,2.575584687747323e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,26,2.578934754637885e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,27,2.5693927341308154e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,28,2.570406820723292e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,29,2.562013889928494e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,30,2.5595673491807247e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,31,2.570055244177638e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,32,2.563202201599779e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,33,2.569854018474871e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,34,2.584513936199073e-07,0.0
qwen3_4b_base,M1_had_sym,0,down,35,2.570557171566179e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,0,1.698037692676735e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,1,1.6966922089522996e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,2,1.6828002458169067e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,3,1.6811635816793569e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,4,1.6875192443421838e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,5,1.6776752431724162e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,6,1.6874311370429496e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,7,1.688195254700986e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,8,1.6909142175336456e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,9,1.687332513711226e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,10,1.714609965119962e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,11,1.6704795768873737e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,12,1.680049308561138e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,13,1.683701782440039e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,14,1.708298213998205e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,15,1.6882721354249952e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,16,1.688670181465568e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,17,1.6916058598326345e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,18,1.6969072191841406e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,19,1.7043967659446935e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,20,1.6971867466963886e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,21,1.6909383759866614e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,22,1.6888660070435435e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,23,1.6907732458548708e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,24,1.709001082872419e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,25,1.6925518764310254e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,26,1.686478157125748e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,27,1.674269611839918e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,28,1.699413871847355e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,29,1.6851055306688068e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,30,1.7056902379408712e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,31,1.7112370187533088e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,32,1.6910786371227005e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,33,1.68333897931916e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,34,1.680624279742915e-07,0.0
qwen3_4b_base,M2_had_asym,0,qkv,35,1.69528007631925e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,0,2.572073185547197e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,1,2.561808400969312e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,2,2.5601531206120853e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,3,2.584215508250054e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,4,2.5682635396151454e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,5,2.563818100043136e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,6,2.5744574827513134e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,7,2.567111323514837e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,8,2.5541012860230694e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,9,2.5581022100595874e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,10,2.562482279699907e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,11,2.5666099645604845e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,12,2.574358006768307e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,13,2.5745194420778716e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,14,2.5750784971023677e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,15,2.560740028911823e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,16,2.5744125764504133e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,17,2.566866612596641e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,18,2.5766573230612266e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,19,2.5665445946287946e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,20,2.578321414148377e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,21,2.569444745859073e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,22,2.562470342581946e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,23,2.583963123470312e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,24,2.5452692398175714e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,25,2.575584687747323e-07,0.0
qwen3_4b_base,M2_had_asym,0,down,26,2.578934754637885e-07,0.0
