model,row,seed,site,layer,rank,residual_group_energy_max_median,captured_fraction,ritz_residual_median,ritz_residual_max,principal_angle_max_deg
llama32_3b,S4,1,qkv,0,24,1.000003268014351,0.5861054255584416,2.9905476408944544e-15,3.890944189236206e-14,7.393896667355496e-06
llama32_3b,S4,1,qkv,1,24,1.0009275398661777,0.6001163894216817,3.0267822772295598e-15,5.909052265864093e-15,6.331754823653221e-06
llama32_3b,S4,1,qkv,2,24,1.0006053025141641,0.40708889718397184,4.015744742930252e-15,1.1659160541817083e-14,6.445849674396954e-06
llama32_3b,S4,1,qkv,3,24,1.000074842289864,0.36760507519250585,3.585786854797807e-15,9.12488128309923e-15,6.2155659652833185e-06
llama32_3b,S4,1,qkv,4,24,1.000021598959817,0.41199002228909143,3.943370414485492e-15,1.48952364925978e-14,5.4668187275950014e-06
llama32_3b,S4,1,qkv,5,24,1.0000903436594448,0.359685715855679,3.017025170693248e-15,7.520307728355347e-15,4.676310850554341e-06
llama32_3b,S4,1,qkv,6,24,1.000072986624884,0.3827200161718338,3.0854966839526246e-15,2.240872088006907e-14,6.9884384818971375e-06
llama32_3b,S4,1,qkv,7,24,1.0001246933771741,0.3703265829650785,4.123765943852861e-15,2.6959461255141786e-14,6.883343194785022e-06
llama32_3b,S4,1,qkv,8,24,1.000041587008669,0.3950907968254377,4.302498556675815e-15,9.278163983904196e-15,7.040397847728103e-06
llama32_3b,S4,1,qkv,9,24,1.0000622782616155,0.3962575549798415,3.4675195970595534e-15,1.7347411129150546e-14,6.273929367455621e-06
llama32_3b,S4,1,qkv,10,24,1.0000297964094653,0.40663094960658924,3.3928408128951787e-15,1.952749093186616e-14,5.193302344775283e-06
llama32_3b,S4,1,qkv,11,24,1.0000810241496723,0.3803390309994238,3.306733631009469e-15,4.52889021405919e-14,5.72728773124927e-06
llama32_3b,S4,1,qkv,12,24,1.0027228694874388,0.4234978537688115,3.1947816128046316e-15,6.672654489180286e-15,6.156649318399953e-06
llama32_3b,S4,1,qkv,13,24,1.0000692264375712,0.42320407949327343,2.980495869080059e-15,1.0486400752358507e-14,5.9764155237611605e-06
llama32_3b,S4,1,qkv,14,24,1.0043816812442263,0.3889735153438411,4.217529147638952e-15,2.9250657808407885e-14,5.915117333884394e-06
llama32_3b,S4,1,qkv,15,24,1.0041880033596238,0.399226069354175,2.6485919990843648e-15,4.0109103144805125e-15,6.331754823653221e-06
llama32_3b,S4,1,qkv,16,24,1.000044204312812,0.38151847369709846,3.555892545450773e-15,6.06714307207225e-15,6.445849674396954e-06
llama32_3b,S4,1,qkv,17,24,1.0000727514542986,0.3618642195424107,2.5746594939918452e-15,1.6105105936922737e-14,4.7536104815230715e-06
llama32_3b,S4,1,qkv,18,24,1.0000741107475906,0.38518983947532787,3.5501952057889895e-15,8.131041897731807e-15,5.399738656763835e-06
llama32_3b,S4,1,qkv,19,24,1.0018472401370977,0.36516642952731265,3.2239287254168425e-15,1.8105848823955217e-14,4.182619578303746e-06
llama32_3b,S4,1,qkv,20,24,1.0000818273578365,0.3705037020626661,2.860538351997632e-15,2.3184184622750947e-14,4.00455336570039e-06
llama32_3b,S4,1,qkv,21,24,1.0009377330463334,0.37846756373465135,3.4012482206570065e-15,3.3101134672133615e-14,5.72728773124927e-06
llama32_3b,S4,1,qkv,22,24,1.0010276248506533,0.36916940781332364,3.2844901485416974e-15,9.818824048319098e-15,5.598568198963992e-06
llama32_3b,S4,1,qkv,23,24,1.0000360573830918,0.3859703525943984,3.0890150551613713e-15,1.0015577635124376e-14,6.445849674396954e-06
llama32_3b,S4,1,qkv,24,24,1.0000260225527406,0.3723031457709847,2.9454513182365956e-15,7.025282918911079e-15,5.533085616490783e-06
llama32_3b,S4,1,qkv,25,24,1.0001267244769805,0.35116721696122755,3.4069164106444217e-15,1.4184208964811108e-14,5.2630142203192075e-06
llama32_3b,S4,1,qkv,26,24,1.0001997231354287,0.3690519719723668,3.119559848922238e-15,5.3243632336678204e-15,5.331814711926508e-06
llama32_3b,S4,1,qkv,27,24,1.0023441287183885,0.3611782594752598,2.55788070293142e-15,4.600379041284378e-15,4.517745487845103e-06
llama32_3b,S4,1,down,0,64,1.0018932197640946,0.3435110047326149,3.4944838395266685e-15,1.558666805507061e-14,1.002956941182704e-05
llama32_3b,S4,1,down,1,64,1.0024624910281932,0.9870349400955425,1.651495058090836e-12,3.960941690605436e-11,9.697004570245026e-06
llama32_3b,S4,1,down,2,64,1.0028879305033325,0.239223490205084,3.7679775436911636e-15,1.531584445992053e-14,1.1675179017869926e-05
llama32_3b,S4,1,down,3,64,1.0026373510614335,0.22752113143638333,3.6801472193874055e-15,2.0416452307739528e-14,1.0560596771592162e-05
llama32_3b,S4,1,down,4,64,1.0020927467213485,0.20703741823019892,3.0493814598257986e-15,4.725091235336858e-15,1.0280796110218938e-05
llama32_3b,S4,1,down,5,64,1.0023543659499257,0.2134507350373897,3.170073873904848e-15,4.4003325770259934e-14,9.734517300533532e-06
llama32_3b,S4,1,down,6,64,1.0126249918347012,0.2252266812025284,3.983285677962266e-15,4.442505287738759e-14,1.0386604689550578e-05
llama32_3b,S4,1,down,7,64,1.0001431558713296,0.21442852200647905,3.3937818916479724e-15,8.105704380974063e-15,1.1454575462498555e-05
llama32_3b,S4,1,down,8,64,1.0023118877575026,0.21465103879952968,3.2363410518111275e-15,6.4931691732397104e-15,9.88314448090898e-06
llama32_3b,S4,1,down,9,64,1.0019072514545901,0.22787832912528755,3.868084585284292e-15,3.8884157784852694e-14,1.1390761175093017e-05
llama32_3b,S4,1,down,10,64,1.0001956984112894,0.24820928138252932,4.065185919022562e-15,1.2325264417562251e-14,1.076567604966661e-05
llama32_3b,S4,1,down,11,64,1.0172554953783584,0.2287334642197979,4.169586544794786e-15,3.7955957412252435e-14,1.0799477313527681e-05
llama32_3b,S4,1,down,12,64,1.1646488146353786,0.2569201523446417,3.4652257184260597e-15,3.486287710345796e-14,1.1033187042674263e-05
llama32_3b,S4,1,down,13,64,1.2042678164652116,0.2492005666193247,3.709090431825896e-15,8.713660138220837e-15,1.1262047877356564e-05
llama32_3b,S4,1,down,14,64,1.003541981680274,0.2568632309954974,3.44478657644339e-15,5.641296235781486e-15,1.0799477313527681e-05
llama32_3b,S4,1,down,15,64,1.0065691014173799,0.2780681944472187,4.921864424423055e-15,2.0947169184195184e-14,1.0138000340489137e-05
llama32_3b,S4,1,down,16,64,1.002577265710738,0.27169246073812175,4.964013880380321e-15,4.7445135547332346e-14,1.010198601586461e-05
llama32_3b,S4,1,down,17,64,1.0024795594626124,0.26707027222498103,3.472085679493432e-15,6.225196007328574e-15,9.84619801707684e-06
llama32_3b,S4,1,down,18,64,1.004738530987083,0.2587405935380496,4.0951794928097195e-15,1.0502891758341741e-14,1.1099057401270736e-05
llama32_3b,S4,1,down,19,64,1.005381611672583,0.3145338590090191,4.4606648651378125e-15,1.1922419459731075e-14,1.0138000340489137e-05
llama32_3b,S4,1,down,20,64,1.0056790345581315,0.2826137067387955,4.410347490316339e-15,1.1902274022946874e-14,1.1454575462498555e-05
llama32_3b,S4,1,down,21,64,1.0028211605135489,0.287611053129163,3.8321524533552275e-15,9.580332558152203e-15,1.0138000340489137e-05
llama32_3b,S4,1,down,22,64,1.0063903094814435,0.28872446381912054,3.987991472570506e-15,3.2100002069678e-14,1.1000103948581645e-05
llama32_3b,S4,1,down,23,64,1.0061127337884124,0.32916898302083014,5.601482920686427e-15,2.0956049530955048e-14,1.1612577070626602e-05
llama32_3b,S4,1,down,24,64,1.0078969979103998,0.3815529331785146,6.938439167741234e-15,6.895619003472669e-14,1.0316186218701491e-05
llama32_3b,S4,1,down,25,64,1.1284752318732731,0.4668202165599678,8.197266938380083e-15,5.2396255906374354e-14,9.88314448090898e-06
llama32_3b,S4,1,down,26,64,1.0016378832442583,0.5204301076766027,1.1048690562979988e-14,1.9595134923924818e-13,1.0697753125226707e-05
llama32_3b,S4,1,down,27,64,1.0004759751649017,0.7204272752692478,2.1593939305525056e-14,5.570737214274248e-14,1.0173887179578492e-05
llama32_3b,S4,2,qkv,0,24,1.000003268014351,0.5861054255584416,2.9905476408944544e-15,3.890944189236206e-14,7.393896667355496e-06
llama32_3b,S4,2,qkv,1,24,1.0009275398661777,0.6001163894216817,3.0267822772295598e-15,5.909052265864093e-15,6.331754823653221e-06
llama32_3b,S4,2,qkv,2,24,1.0006053025141641,0.40708889718397184,4.015744742930252e-15,1.1659160541817083e-14,6.445849674396954e-06
llama32_3b,S4,2,qkv,3,24,1.000074842289864,0.36760507519250585,3.585786854797807e-15,9.12488128309923e-15,6.2155659652833185e-06
llama32_3b,S4,2,qkv,4,24,1.000021598959817,0.41199002228909143,3.943370414485492e-15,1.48952364925978e-14,5.4668187275950014e-06
llama32_3b,S4,2,qkv,5,24,1.0000903436594448,0.359685715855679,3.017025170693248e-15,7.520307728355347e-15,4.676310850554341e-06
llama32_3b,S4,2,qkv,6,24,1.000072986624884,0.3827200161718338,3.0854966839526246e-15,2.240872088006907e-14,6.9884384818971375e-06
llama32_3b,S4,2,qkv,7,24,1.0001246933771741,0.3703265829650785,4.123765943852861e-15,2.6959461255141786e-14,6.883343194785022e-06
llama32_3b,S4,2,qkv,8,24,1.000041587008669,0.3950907968254377,4.302498556675815e-15,9.278163983904196e-15,7.040397847728103e-06
llama32_3b,S4,2,qkv,9,24,1.0000622782616155,0.3962575549798415,3.4675195970595534e-15,1.7347411129150546e-14,6.273929367455621e-06
llama32_3b,S4,2,qkv,10,24,1.0000297964094653,0.40663094960658924,3.3928408128951787e-15,1.952749093186616e-14,5.193302344775283e-06
llama32_3b,S4,2,qkv,11,24,1.0000810241496723,0.3803390309994238,3.306733631009469e-15,4.52889021405919e-14,5.72728773124927e-06
llama32_3b,S4,2,qkv,12,24,1.0027228694874388,0.4234978537688115,3.1947816128046316e-15,6.672654489180286e-15,6.156649318399953e-06
llama32_3b,S4,2,qkv,13,24,1.0000692264375712,0.42320407949327343,2.980495869080059e-15,1.0486400752358507e-14,5.9764155237611605e-06
llama32_3b,S4,2,qkv,14,24,1.0043816812442263,0.3889735153438411,4.217529147638952e-15,2.9250657808407885e-14,5.915117333884394e-06
llama32_3b,S4,2,qkv,15,24,1.0041880033596238,0.399226069354175,2.6485919990843648e-15,4.0109103144805125e-15,6.331754823653221e-06
llama32_3b,S4,2,qkv,16,24,1.000044204312812,0.38151847369709846,3.555892545450773e-15,6.06714307207225e-15,6.445849674396954e-06
llama32_3b,S4,2,qkv,17,24,1.0000727514542986,0.3618642195424107,2.5746594939918452e-15,1.6105105936922737e-14,4.7536104815230715e-06
llama32_3b,S4,2,qkv,18,24,1.0000741107475906,0.38518983947532787,3.5501952057889895e-15,8.131041897731807e-15,5.399738656763835e-06
llama32_3b,S4,2,qkv,19,24,1.0018472401370977,0.36516642952731265,3.2239287254168425e-15,1.8105848823955217e-14,4.182619578303746e-06
llama32_3b,S4,2,qkv,20,24,1.0000818273578365,0.3705037020626661,2.860538351997632e-15,2.3184184622750947e-14,4.00455336570039e-06
llama32_3b,S4,2,qkv,21,24,1.0009377330463334,0.37846756373465135,3.4012482206570065e-15,3.3101134672133615e-14,5.72728773124927e-06
llama32_3b,S4,2,qkv,22,24,1.0010276248506533,0.36916940781332364,3.2844901485416974e-15,9.818824048319098e-15,5.598568198963992e-06
llama32_3b,S4,2,qkv,23,24,1.0000360573830918,0.3859703525943984,3.0890150551613713e-15,1.0015577635124376e-14,6.445849674396954e-06
llama32_3b,S4,2,qkv,24,24,1.0000260225527406,0.3723031457709847,2.9454513182365956e-15,7.025282918911079e-15,5.533085616490783e-06
llama32_3b,S4,2,qkv,25,24,1.0001267244769805,0.35116721696122755,3.4069164106444217e-15,1.4184208964811108e-14,5.2630142203192075e-06
llama32_3b,S4,2,qkv,26,24,1.0001997231354287,0.3690519719723668,3.119559848922238e-15,5.3243632336678204e-15,5.331814711926508e-06
llama32_3b,S4,2,qkv,27,24,1.0023441287183885,0.3611782594752598,2.55788070293142e-15,4.600379041284378e-15,4.517745487845103e-06
llama32_3b,S4,2,down,0,64,1.0018932197640946,0.3435110047326149,3.4944838395266685e-15,1.558666805507061e-14,1.002956941182704e-05
llama32_3b,S4,2,down,1,64,1.0024624910281932,0.9870349400955425,1.651495058090836e-12,3.960941690605436e-11,9.697004570245026e-06
llama32_3b,S4,2,down,2,64,1.0028879305033325,0.239223490205084,3.7679775436911636e-15,1.531584445992053e-14,1.1675179017869926e-05
llama32_3b,S4,2,down,3,64,1.0026373510614335,0.22752113143638333,3.6801472193874055e-15,2.0416452307739528e-14,1.0560596771592162e-05
llama32_3b,S4,2,down,4,64,1.0020927467213485,0.20703741823019892,3.0493814598257986e-15,4.725091235336858e-15,1.0280796110218938e-05
llama32_3b,S4,2,down,5,64,1.0023543659499257,0.2134507350373897,3.170073873904848e-15,4.4003325770259934e-14,9.734517300533532e-06
llama32_3b,S4,2,down,6,64,1.0126249918347012,0.2252266812025284,3.983285677962266e-15,4.442505287738759e-14,1.0386604689550578e-05
llama32_3b,S4,2,down,7,64,1.0001431558713296,0.21442852200647905,3.3937818916479724e-15,8.105704380974063e-15,1.1454575462498555e-05
llama32_3b,S4,2,down,8,64,1.0023118877575026,0.21465103879952968,3.2363410518111275e-15,6.4931691732397104e-15,9.88314448090898e-06
llama32_3b,S4,2,down,9,64,1.0019072514545901,0.22787832912528755,3.868084585284292e-15,3.8884157784852694e-14,1.1390761175093017e-05
llama32_3b,S4,2,down,10,64,1.0001956984112894,0.24820928138252932,4.065185919022562e-15,1.2325264417562251e-14,1.076567604966661e-05
llama32_3b,S4,2,down,11,64,1.0172554953783584,0.2287334642197979,4.169586544794786e-15,3.7955957412252435e-14,1.0799477313527681e-05
llama32_3b,S4,2,down,12,64,1.1646488146353786,0.2569201523446417,3.4652257184260597e-15,3.486287710345796e-14,1.1033187042674263e-05
llama32_3b,S4,2,down,13,64,1.2042678164652116,0.2492005666193247,3.709090431825896e-15,8.713660138220837e-15,1.1262047877356564e-05
llama32_3b,S4,2,down,14,64,1.003541981680274,0.2568632309954974,3.44478657644339e-15,5.641296235781486e-15,1.0799477313527681e-05
llama32_3b,S4,2,down,15,64,1.0065691014173799,0.2780681944472187,4.921864424423055e-15,2.0947169184195184e-14,1.0138000340489137e-05
llama32_3b,S4,2,down,16,64,1.002577265710738,0.27169246073812175,4.964013880380321e-15,4.7445135547332346e-14,1.010198601586461e-05
