model,model_id,site,method,seed,sequence,nll,tokens_scored,reused_deterministic_run,weight_fold_max_relative_error
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,0,1.5464779138565063,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,1,2.1922779083251953,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,2,2.264761447906494,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,3,1.8330577611923218,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,4,1.7191622257232666,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,5,1.292494773864746,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,6,1.318305253982544,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,7,1.6997891664505005,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,8,2.0047192573547363,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,9,1.8368663787841797,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,10,1.7400190830230713,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,11,2.057466506958008,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,12,1.956594467163086,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,13,2.071674108505249,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,14,1.9833183288574219,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,15,2.2152328491210938,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,16,1.928097128868103,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,17,1.9094105958938599,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,18,1.5210373401641846,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,19,1.8612604141235352,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,20,1.977912187576294,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,21,1.9391988515853882,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,22,1.9312353134155273,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,23,1.9972156286239624,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,24,2.050405740737915,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,25,2.1659064292907715,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,26,2.237657308578491,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,27,2.0679938793182373,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,28,1.774213433265686,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,29,1.5930705070495605,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,30,1.42472505569458,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,31,1.4539145231246948,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,32,1.8197304010391235,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,33,1.7883142232894897,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,34,1.9435065984725952,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,35,1.2877315282821655,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,36,1.2991207838058472,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,37,1.303981065750122,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,38,1.292380928993225,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,39,1.513081669807434,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,40,2.050034284591675,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,41,2.5302584171295166,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,42,2.527517080307007,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,43,2.0201189517974854,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,44,2.0400938987731934,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,45,2.0909671783447266,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,46,2.1791200637817383,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,47,2.033564805984497,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,48,1.8137092590332031,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,49,1.8356941938400269,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,50,1.52400803565979,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,51,1.6688241958618164,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,52,1.508921504020691,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,53,1.7060980796813965,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,54,1.4429843425750732,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,55,1.4163206815719604,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,56,1.4561928510665894,2047,False,0.0
llama31_8b,unsloth/Meta-Llama-3.1-8B,none,bf16,-1,57,1.6269617080688477,2047,False,0.0
